type,indicator,verdict,vt_detections,labels,in_report,report_sources,databases,note
ipv4,2[.]26[.]126[.]50,malicious (high),16/91,,yes,[1] [2],,
sha256,5f0cfe8357bb52b45068ddbac053e32bc38e6cb5e086746f5402657b0a5cfb1c,malicious (high),7/75,hacktool.vulndriver/ccprotect,yes,[1] [6],,
sha256,611b3ba687b7f46319a19609605ddfe5225e6d85277d8e923eea3fdb6f7b5b61,malicious (medium),3/75,vulndriver/cncrypt,yes,[1] [4],,
domain,albinofennel[.]com,malicious (high),9/91,,yes,[1],,
domain,dallikilic54[.]github[.]io,malicious (medium),1/91,,yes,[1],,
domain,edgarcostartqd[.]github[.]io,malicious (medium),1/91,,yes,[1],,
domain,hanselarinmusky[.]com,malicious (high),7/91,,yes,[1],,
domain,icansamyope[.]com,malicious (high),7/91,,yes,[1],,
domain,istatlmenus[.]com,malicious (high),8/91,,yes,[1],,
domain,lastpass-authenticator[.]github[.]io,malicious (medium),1/91,,yes,[1],,
domain,macperformancetools[.]com,malicious (high),8/91,,yes,[1],,
domain,ryanpresbrey[.]cc,malicious (high),5/91,,yes,[1],,
domain,zaffersnouty[.]com,malicious (high),14/91,,yes,[1],,
md5,10b3049f4a954665512eca5d24728c89,malicious (medium),3/75,vulndriver/cncrypt,no,[4],,
md5,207e7aaa3c30c8dffeb20fd8f3b72852,unknown,,,no,[4],,
md5,57a2f40fccb4fb28f3e0fc12f06cf4b2,unknown,,,no,[4],,
md5,c44f751b6b255ab1646133301d7c03cd,unknown,,,no,[6],,
md5,dd0b39ba9e2c95e68b934a065d9144bc,unknown,,,no,[6],,
md5,e74d70c851e0c39cdb19af3bd2920efd,malicious (high),7/75,hacktool.vulndriver/ccprotect,no,[6],,
sha1,0cbc7b342fa3e988192d6c9178c562c2244c3ea2,malicious (high),7/75,hacktool.vulndriver/ccprotect,no,[6],,
sha1,172c5ce3afab6d63fe12a7e036f20271b9d09c13,malicious (medium),3/75,vulndriver/cncrypt,no,[4],,
sha1,1cbb8931e81f662af15b71db621d78d7988fe704,unknown,,,no,[4],,
sha1,83a3311c1a92dacabbd026f807ffb05bf74299a1,unknown,,,no,[6],,
sha256,1e6c1766ac78d7adfdae71d361cb132d972771897ae9065503b135cb812d7c35,"known, no detections",0/75,,no,[1],,"SHA-256 of an HTTP response body (JavaScript redirect served by istatlmenus[.]com), not a file sample - for web-content pivoting, not endpoint blocking"
sha256,26db14b956e33f69b3397a36387d32e01eb63613acff91069dc76b6ed7de45a8,malicious (high),30/75,trojan.driverloader/genericfca,yes,[1],,
sha256,61b268c31404e7b77868f5efdc2f134fffcf3059680e1ac26d93ead48529f9a7,unknown,,,no,[6],,
sha256,75018b06c7105a1dca391805d17b402aed35ebd515b92d461236eafbd606cb40,malicious (high),48/75,trojan.stealer/loregun,yes,[1],,
sha256,aefbc6e04320e9a0e80f2323f8a897c4fdb222a37b0b87d76e850109decbfadd,malicious (high),50/75,trojan.stealer/encoder,yes,[1],,
sha256,c202e7bb00135434321dad49f6c746b1ea071f6e7400a598438868f660f0e887,unknown,,,no,[4],,
sha256,ea8c31a86fa785ab514022c278a2f6e571c86aac9283745a96605c44d88382d6,unknown,,,yes,[1],,
