id,report_ref,publisher,title,url,published,reliability,source_type,accessed,sha256
S1,[1],LastPass TIME,"Threat Intel | One Kit, Forty Companies: How a Malware-as-a-Service Platform Used GitHub as a Distribution Network for its Campaign",https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-17,B,primary,2026-09-24,e177513ac2e4d21a54e627dc40a038af8d018d1227f5cd75620c2c1585b3e6a0
S2,[2],BleepingComputer,Fake LastPass Authenticator GitHub repos push new Rapuncel infostealer,https://www.bleepingcomputer.com/news/security/fake-lastpass-authenticator-github-repos-push-new-rapuncel-infostealer/,2026-09-18,B,secondary,2026-09-24,0136994e97b5c27fb142ad253c4244f905f716d4855c66d69e4f369aef0e3c9d
S3,[7],heise online,LastPass discovers new infostealer variant disguised as GitHub repo,https://www.heise.de/en/news/LastPass-discovers-new-infostealer-variant-disguised-as-GitHub-repo-11459182.html,2026-09-19,B,secondary,2026-09-24,82107f5c72fb4e92b74283d4d384dc9b17a11421a5f67561793131c5a852374a
S4,[8],Security Affairs,Fake LastPass on GitHub Led to an Infostealer That Killed 145 Security Tools,https://securityaffairs.com/199577/malware/fake-lastpass-on-github-led-to-an-infostealer-that-killed-145-security-tools.html,2026-09-23,C,secondary,2026-09-24,eae9549a90c0192fedabfca1c70f68b4c5ab4707a374021d2fb4dbd9c736bedf
S5,[3],CyberInsider,Fake LastPass downloads on GitHub pushed password-stealing malware,https://cyberinsider.com/fake-lastpass-downloads-on-github-pushed-password-stealing-malware/,2026-09-18,C,secondary,2026-09-24,902b3dba1f4662fe4bb4130e68776a60996d20bab1ad1f98015154e629367a84
S6,[5],The Hacker News,Fake LastPass Authenticator Installer Abuses Microsoft-Signed Driver to Kill Antivirus and EDR,https://thehackernews.com/2026/09/fake-lastpass-authenticator-installer.html,2026-09-21,C,secondary,2026-09-24,2ba68251794c071e43812b1d211e8397b15c8f1015bd40e92ea02d7fe2c879cd
S7,[4],LOLDrivers,Alinubx.sys,https://www.loldrivers.io/drivers/84a3007a-de5e-4622-bfc5-f05d927c3618/,2026-08-27,B,database,2026-09-24,82cec8613c88c7e8b302ae11cbc42baa6959fbdb068b64d6cbd0475b2633145d
S8,[6],LOLDrivers,CcProtect.sys,https://www.loldrivers.io/drivers/3e3067b0-3d74-46fe-9f57-1ae3a0293958/,2026-06-16,B,database,2026-09-24,4fd18a2042b76c3a91800dc0a51aa3ac2c27dbfcda65f579a63a47180c905093
S10,[10],Trend Micro Research,New BoryptGrab Stealer Targets Windows Users via Deceptive GitHub Pages,https://www.trendmicro.com/en_us/research/26/c/boryptgrab-stealer-targets-users-via-deceptive-github-pages.html,2026-03-05,B,primary,2026-09-24,1e41536ecc44fae674e919be403a5da5fa89e490e959556fa809d8c30e00bfb1
S11,[9],Arctic Wolf Labs,"Malicious GitHub Campaign: Fake ""Arctic Wolf"" and 290+ Brand-Impersonation Repositories Deliver BoryptGrab-Lineage Infostealer",https://arcticwolf.com/resources/blog/fake-github-repositories-deliver-boryptgrab-lineage-infostealer/,2026-07-13,B,primary,2026-09-24,60e85d0e97b19f323b7f59b1f1ca1c323384fd428f511ad5769eb2e108c19ae4
